artist,top genre
The Weeknd,canadian contemporary r&b
Harry Styles,pop
24kGoldn,cali rap
Lewis Capaldi,pop
Ed Sheeran,pop
Imagine Dragons,modern rock
Billie Eilish,electropop
Post Malone,dfw rap
Ed Sheeran,pop
Maroon 5,pop
The Chainsmokers,dance pop
Billie Eilish,electropop
James Arthur,pop
Juice WRLD,chicago rap
John Legend,neo soul
Ariana Grande,dance pop
XXXTENTACION,emo rap
Travis Scott,rap
Avicii,dance pop
DaBaby,north carolina hip hop
Post Malone,dfw rap
Ed Sheeran,pop
XXXTENTACION,emo rap
Travis Scott,rap
Twenty One Pilots,modern rock
SAINt JHN,melodic rap
Roddy Ricch,melodic rap
The Weeknd,canadian contemporary r&b
Post Malone,dfw rap
Ed Sheeran,pop
The Weeknd,canadian contemporary r&b
Justin Bieber,canadian pop
The Chainsmokers,dance pop
Lady Gaga,dance pop
Imagine Dragons,modern rock
Lil Uzi Vert,melodic rap
Hozier,irish singer-songwriter
Marshmello,brostep
Ariana Grande,dance pop
OneRepublic,dance pop
Macklemore & Ryan Lewis,pop rap
Shawn Mendes,canadian pop
Drake,canadian hip hop
Dua Lipa,dance pop
Queen,classic rock
Kendrick Lamar,conscious hip hop
DJ Snake,dance pop
Post Malone,dfw rap
Sam Smith,dance pop
Shawn Mendes,canadian pop
Mark Ronson,dance pop
Lauv,dance pop
Billie Eilish,electropop
The Killers,alternative rock
Tones And I,australian pop
Camila Cabello,dance pop
Post Malone,dfw rap
Ed Sheeran,pop
French Montana,gangster rap
Sam Smith,dance pop
Vance Joy,folk-pop
Bruno Mars,dance pop
Wiz Khalifa,dance pop
Calvin Harris,dance pop
Twenty One Pilots,modern rock
Imagine Dragons,modern rock
5 Seconds of Summer,boy band
Lil Nas X,lgbtq+ hip hop
Jason Mraz,acoustic pop
Charlie Puth,dance pop
Dua Lipa,dance pop
Justin Bieber,canadian pop
The Chainsmokers,dance pop
Lukas Graham,danish pop
Cardi B,dance pop
Post Malone,dfw rap
Charlie Puth,dance pop
The Weeknd,canadian contemporary r&b
Luis Fonsi,latin
Post Malone,dfw rap
Shawn Mendes,canadian pop
Justin Bieber,canadian pop
Oasis,beatlesque
Imagine Dragons,modern rock
benny blanco,electropop
OMI,dance pop
Sia,australian dance
Maroon 5,pop
Alan Walker,electro house
Passenger,folk-pop
Justin Timberlake,dance pop
Major Lazer,dance pop
Luis Fonsi,latin
Eminem,detroit hip hop
Halsey,dance pop
Drake,canadian hip hop
Maroon 5,pop
Mark Mendy,pop dance
Major Lazer,dance pop
Mike Posner,dance pop
